snowfall,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,TOTAL,Elnino,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Sunspots,ssOCT,ssNOV,ssDEC,ssJAN,ssFEB,ssMar,ssApr,ssMay,ssJun,ssJul,ssAug,ssSep,avgtmp,sepDT,octDT,novDT,decDT,janDT,febDT,marDT,aprDT,mayDT,juneDT,julDT,augDT,SuperiorIce,NovIce,DecIce,JanIce,FebIce,MarIce,AprIce,MayIce,JunIce
1890-91,1,12.2,12,33,28.5,22,2.5,0,111.2,1890-1891,3.6,2.6,0.6,15.6,-3.6,-9.5,4.5,-0.3,-1.5,-6.3,-8.9,-10.6,1890-1891,18,15,13,22,36,17,34,68,80,98,55,89,1890-1891,52.9,44.1,32.6,NA,NA,NA,NA,NA,49.6,NA,NA,61.9,,,,,,,,,
1891-92,0,31,23,44,18,12.5,1,0,129.5,1891-1892,0.6,-4.7,-4.5,2.7,-10.2,11.1,6.9,10,19.6,7.4,5.9,6.3,1891-1892,86,69,54,115,126,83,116,132,127,127,169,104,1891-1892,61.3,44.1,27.2,28.6,12.6,18,23.2,33.6,45.6,58,67.6,65,,,,,,,,,
1892-93,0,23,44,24.5,16.5,17,13,1,139,1892-1893,8.5,-0.7,3.7,11.3,7.7,-1.4,1.2,-3.5,10.7,14,7.8,5.7,1892-1893,117,108,131,125,121,109,146,141,149,147,215,129,1892-1893,57.9,46.1,27.6,17.9,6.8,9.7,20.5,30.4,45.5,64.3,65.3,63.5,,,,,,,,,
1893-94,1,30,48.5,37,14.5,23,10,1,165,1893-1894,7.9,2.6,1.6,17.5,10,5.6,-3,-5.1,-1.5,-2.3,-5.7,-1.6,1893-1894,133,125,156,138,141,87,136,168,164,176,117,110,1893-1894,54.1,43.9,30.6,15.8,16.8,14.5,27.5,39.3,45.8,65.1,66.7,61.3,,,,,,,,,
1894-95,0,29.5,18.3,74,9,5.25,0,1.5,137.55,1894-1895,1.8,7.2,0.1,5.6,3,-0.3,-7.1,-8.2,-4.7,-0.4,-6.3,-4,1894-1895,125,94,100,105,112,101,128,112,119,79,114,96,1894-1895,60.4,45.9,26.2,26.1,13.8,12.7,19.9,41.5,53.6,59.9,62,62.5,,,,,,,,,
1895-96,2.8,14,62,29,15.8,6,8.5,0,138.1,1895-1896,-5.6,-8.6,-3.5,1.3,4.9,-6.3,-8.8,-42.2,-30.6,-20.6,-22.4,-19,1895-1896,113,78,117,48,95,86,73,46,81,75,45,102,1895-1896,57.1,40.1,30.7,23.2,18.6,18.2,19.7,39.8,53.9,62.4,65,62.9,,,,,,,,,
1896-97,3,37,16.7,36.5,18.5,12,1.5,2,127.2,1896-1897,-19,-11.9,-14.2,-12.5,-7.4,-16.6,-17.8,-16.9,0.2,-2.3,0.8,0.2,1896-1897,47,63,71,67,49,48,51,33,18,46,36,80,1896-1897,53.1,42.7,26.3,24.5,17,20.4,23.1,38,48.5,55.3,67.9,60.8,,,,,,,,,
1897-98,1,13,36.5,19.5,20,12,1.5,0,103.5,1897-1898,1.8,-8,10.3,7,6.3,19.2,11.1,-1.9,-2.3,6.1,2.1,3.2,1897-1898,23,14,55,50,60,63,24,43,37,15,52,58,1897-1898,61.9,48.5,27.8,19.8,21,18.9,30.4,39.4,49.7,58.3,65.5,61.7,,,,,,,,,
1898-99,1.2,15.3,36,30.5,15,13,0,6.5,112.5,1898-1899,-0.7,-2.7,-0.4,13.2,9.1,13.8,4.5,-7.4,-10.4,-5.6,-10.1,-1.6,1898-1899,57,51,21,32,15,30,23,12,34,22,4,14,1898-1899,58.3,43.2,32.7,19.9,14.2,8.6,14.8,39.4,48.3,59.8,64.4,64.4,,,,,,,,,
1899-00,0,1,42.5,22,19.5,13,0,0,100,1899-1900,6.1,15.8,-3,-7.3,-6.5,-25.3,-18.7,-7.4,26.1,10,7.8,-16.6,1899-1900,21,13,17,15,22,14,26,25,20,13,7,13,1899-1900,50.7,47,39.8,20.5,19.7,9.1,19.2,45.5,52.4,59.6,63.2,67.3,,,,,,,,,
